Hotel Name,City,Address,address line2,Address line3,,Address line4,,address 4,,Addres full
Jumeria Rotana,Dubai,Sheikh Zayed Road, Dubai, UAE,,+971 4 343 0000,,,, Dubai  UAE +971 4 607 0000  
Atana Hotel,Dubai,Al Nahda, Dubai, UAE,,+971 4 282 9999,,,, Dubai  UAE +971 4 343 0000  
Mövenpick Jumeirah Lakes Towers,Dubai,Jumeirah Lakes Towers, Dubai, UAE,,+971 4 444 0111,,,, Dubai  UAE +971 4 282 9999  
Rose Rayhaan By Rotana,Dubai,Sheikh Zayed Road, Dubai, UAE,,+971 4 312 5555,,,, Dubai  UAE +971 4 444 0111  
Aloft Palm Jumeirah,Dubai,Palm Jumeirah, Dubai, UAE,,+971 4 247 7700,,,, Dubai  UAE +971 4 312 5555  
Two Seasons Hotel,Dubai,Al Barsha, Dubai, UAE,,+971 4 301 6666,,,, Dubai  UAE +971 4 247 7700  
Premier Inn Ibn Battuta,Dubai,Ibn Battuta Gate, Dubai, UAE,,+971 4 444 1000,,,, Dubai  UAE +971 4 301 6666  
Flora Al Barsha Mall Of Emirates,Dubai,Al Barsha, Dubai, UAE,,+971 4 399 9000,,,, Dubai  UAE +971 4 444 1000  
C Central Resort The Palm,Dubai,Palm Jumeirah, Dubai, UAE,,+971 4 247 7733,,,, Dubai  UAE +971 4 399 9000  
Towers Rotana,Dubai,Sheikh Zayed Road, Dubai, UAE,,+971 4 343 9000,,,, Dubai  UAE +971 4 247 7733  
Voco Bonnington Dubai,Dubai,Al Barsha, Dubai, UAE,,+971 4 399 9911,,,, Dubai  UAE +971 4 343 9000  
Avani Palm View,Dubai,Palm Jumeirah, Dubai, UAE,,+971 4 524 0000,,,, Dubai  UAE +971 4 399 9911  
Intercontinental Residence Suites,Dubai,Dubai Festival City, Dubai, UAE,,+971 4 701 2222,,,, Dubai  UAE +971 4 524 0000  
Sheraton Grand Hotel,Dubai,Sheikh Zayed Road, Dubai, UAE,,+971 4 349 9111,,,, Dubai  UAE +971 4 701 2222  
Ramee Dream Hotel Downtown,Dubai,Al Rigga Road, Deira, Dubai,, UAE,,+971 4 250 0000,, Dubai  UAE +971 4 349 9111  
The H Dubai,Dubai,Sheikh Zayed Road, Dubai, UAE,,+971 4 501 8888,,,, Deira  Dubai  UAE +971 4 250 0000 
Gevora Hotel or Voco,Dubai,Al Rigga Road, Deira, Dubai,, UAE,,+971 4 269 1111,, Dubai  UAE +971 4 501 8888  
Pullman Dubai Lakes Towers,Dubai,Jumeirah Lakes Towers, Dubai, UAE,,+971 4 561 9999,,,, Deira  Dubai  UAE +971 4 269 1111 
Oaks Ibn Battuta Gate Dubai,Dubai,Ibn Battuta Gate, Dubai, UAE,,+971 4 444 2000,,,, Dubai  UAE +971 4 561 9999  
Millennium Place Marina,Dubai,Dubai Marina, Dubai, UAE,,+971 4 450 6000,,,, Dubai  UAE +971 4 444 2000  
Dukes The Palm,Dubai,Palm Jumeirah, Dubai, UAE,,+971 4 451 1111,,,, Dubai  UAE +971 4 450 6000  
Radisson Blu Waterfront,Dubai,Dubai Marina, Dubai, UAE,,+971 4 366 9111,,,, Dubai  UAE +971 4 451 1111  
Shangri-la Hotel Dubai,Dubai,Sheikh Zayed Road, Dubai, UAE,,+971 4 343 8888,,,, Dubai  UAE +971 4 366 9111  
Media Rotana,Dubai,Media City, Dubai, UAE,,+971 4 435 0000,,,, Dubai  UAE +971 4 343 8888  
Al Bandar Arjaan by Rotana,Dubai,Dubai Creek, Dubai, UAE,,+971 4 509 0000,,,, Dubai  UAE +971 4 435 0000  
Sofitel Dubai The Obelisk,Dubai,Business Bay, Dubai, UAE,,+971 4 248 8800,,,, Dubai  UAE +971 4 509 0000  
Burjuman Arjaan By Rotana,Dubai,Bur Dubai, Dubai, UAE,,+971 4 352 9999,,,, Dubai  UAE +971 4 248 8800  
Gulf Court Business Bay,Dubai,Business Bay, Dubai, UAE,,+971 4 308 0000,,,, Dubai  UAE +971 4 352 9999  
Grand Millennium Dubai,Dubai,Sheikh Zayed Road, Dubai, UAE,,+971 4 429 9999,,,, Dubai  UAE +971 4 308 0000  
Hilton Dubai Creek,Dubai,Baniyas Road, Deira, Dubai,, UAE,,+971 4 227 1111,, Dubai  UAE +971 4 429 9999  
Jannah Marina Bay Suites,Dubai,Dubai Marina, Dubai, UAE,,+971 4 814 0000,,,, Deira  Dubai  UAE +971 4 227 1111 
Hotel Indigo Dubai Downtown,Dubai,Sheikh Mohammed Bin Rashid Blvd, Dubai, UAE,,+971 4 513 6666,,,, Dubai  UAE +971 4 814 0000  
The Tower Plaza Hotel,Dubai,Sheikh Zayed Road, Dubai, UAE,,+971 4 343 0000,,,, Dubai  UAE +971 4 513 6666  
Swissotel Al Murooj Dubai,Dubai,Sheikh Zayed Road, Dubai, UAE,,+971 4 387 0011,,,, Dubai  UAE +971 4 343 0000  
Dusit Thani,Dubai,Sheikh Zayed Road, Dubai, UAE,,+971 4 343 3333,,,, Dubai  UAE +971 4 387 0011  
25hours Hotel One Central,Dubai,Trade Centre Area, Dubai, UAE,,+971 4 525 0000,,,, Dubai  UAE +971 4 343 3333  
Radisson Blu Hotel,Dubai,Dubai Marina, Dubai, UAE,,+971 4 399 3333,,,, Dubai  UAE +971 4 525 0000  
The Meydan Hotel,Dubai,Al Meydan Road, Nad Al Sheba, Dubai,, UAE,,+971 4 381 3111,, Dubai  UAE +971 4 399 3333  
Sofitel Dubai Downtown,Dubai,Sheikh Mohammed Bin Rashid Blvd, Dubai, UAE,,+971 4 508 8888,,,, Nad Al Sheba  Dubai  UAE +971 4 381 3111 
Jw Marriott Marquis,Dubai,Sheikh Zayed Road, Dubai, UAE,,+971 4 414 0000,,,, Dubai  UAE +971 4 508 8888  
Intercontinental Festival,Dubai,Dubai Festival City, Dubai, UAE,,+971 4 701 1111,,,, Dubai  UAE +971 4 414 0000  
Taj Jumeirah Lakes Towers,Dubai,Jumeirah Lakes Towers, Dubai, UAE,,+971 4 422 8111,,,, Dubai  UAE +971 4 701 1111  
Courtyard By Marriott,Dubai,Al Garhoud, Dubai, UAE,,+971 4 702 7888,,,, Dubai  UAE +971 4 422 8111  
Grand Cosmopolitan Hotel,Dubai,Al Barsha, Dubai, UAE,,+971 4 321 9000,,,, Dubai  UAE +971 4 702 7888  
Fairmont,Dubai,Sheikh Zayed Road, Dubai, UAE,,+971 4 332 55 55,,,, Dubai  UAE +971 4 321 9000  
Kempinski Mall Of Emirates,Dubai,Sheikh Zayed Road, Dubai, UAE,,+971 4 341 0000,,,, Dubai  UAE +971 4 332 55 55  
Renaissance Downtown,Dubai,Sheikh Mohammed Bin Rashid Blvd, Dubai, UAE,,+971 4 512 5555,,,, Dubai  UAE +971 4 341 0000  
The Radisson Blu Residence,Dubai,Dubai Marina, Dubai, UAE,,+971 4 366 9111,,,, Dubai  UAE +971 4 512 5555  
Paramount Hotel Midtown,Dubai,Al Mustaqbal Street, Dubai, UAE,,+971 4 420 0000,,,, Dubai  UAE +971 4 366 9111  
Sofitel Dubai Jumeirah,Dubai,Jumeirah Beach Road, Dubai, UAE,,+971 4 448 4848,,,, Dubai  UAE +971 4 420 0000  
Lapita, Dubai Parks,Dubai,Dubai Parks and Resorts, Dubai,, UAE,,+971 4 275 1234,, Dubai  UAE +971 4 448 4848  
Jumeirah Creekside Hotel,Dubai,Dubai Creek, Dubai, UAE,,+971 4 515 7777,,,,Dubai Parks and Resorts  Dubai  UAE +971 4 275 1234 
The Palm Managed By Accor,Dubai,Palm Jumeirah, Dubai, UAE,,+971 4 455 9988,,,, Dubai  UAE +971 4 515 7777  
Stella Di Mare Dubai Marina,Dubai,Dubai Marina, Dubai, UAE,,+971 4 453 0444,,,, Dubai  UAE +971 4 455 9988  
Fairmont The Palm,Dubai,Palm Jumeirah, Dubai, UAE,,+971 4 457 3388,,,, Dubai  UAE +971 4 453 0444  
Pullman Dubai Downtown,Dubai,Sheikh Mohammed Bin Rashid Blvd, Dubai, UAE,,+971 4 306 9999,,,, Dubai  UAE +971 4 457 3388  
Habtoor Palace, & Resorts,Dubai,Al Habtoor City, Dubai,, UAE,,+971 4 435 5555,, Dubai  UAE +971 4 306 9999  
Andaz Dubai The Palm,Dubai,Palm Jumeirah, Dubai, UAE,,+971 4 583 8888,,,,Al Habtoor City  Dubai  UAE +971 4 435 5555 
Palace Downtown,Dubai,Mohammed Bin Rashid Blvd, Dubai, UAE,,+971 4 428 7888,,,, Dubai  UAE +971 4 583 8888  
The Retreat Palm MGallery,Dubai,Palm Jumeirah, Dubai, UAE,,+971 4 524 7777,,,, Dubai  UAE +971 4 428 7888  
CONRAD,Dubai,Sheikh Zayed Road, Dubai, UAE,,+971 4 444 7444,,,, Dubai  UAE +971 4 524 7777  
Wyndham Residences The Palm,Dubai,Palm Jumeirah, Dubai, UAE,,+971 4 514 0000,,,, Dubai  UAE +971 4 444 7444  
Sls Dubai Hotel & Residences,Dubai,Dubai Marina, Dubai, UAE,,+971 4 558 0777,,,, Dubai  UAE +971 4 514 0000  
Hyde Hotel Dubai,Dubai,Al Habtoor City, Dubai, UAE,,+971 4 399 2233,,,, Dubai  UAE +971 4 558 0777  
Address Dubai Marina,Dubai,Dubai Marina, Dubai, UAE,,+971 4 436 7777,,,, Dubai  UAE +971 4 399 2233  
Sofitel Dubai The Palm,Dubai,Palm Jumeirah, Dubai, UAE,,+971 4 455 6677,,,, Dubai  UAE +971 4 436 7777  
Jumeirah Zabeel Saray,Dubai,Palm Jumeirah, Dubai, UAE,,+971 4 453 0000,,,, Dubai  UAE +971 4 455 6677  
Anantara The Palm Resort,Dubai,Palm Jumeirah, Dubai, UAE,,+971 4 567 8888,,,, Dubai  UAE +971 4 453 0000  
Damac Maison Distinction,Dubai,Dubai Marina, Dubai, UAE,,+971 4 450 7733,,,, Dubai  UAE +971 4 567 8888  
Rixos Premium Dubai,Dubai,Dubai Marina, Dubai, UAE,,+971 4 520 0000,,,, Dubai  UAE +971 4 450 7733  
The Ritz-Carlton,Dubai,Al Mamsha Street, JBR, Dubai,, UAE,,+971 4 399 4000,, Dubai  UAE +971 4 520 0000  
Address Montgomerie,Dubai,The Montgomerie, Emirates Hills, Dubai,, UAE,,+971 4 390 5667,, JBR  Dubai  UAE +971 4 399 4000 
Pullman Dubai Jumeirah,Dubai,Jumeirah Beach Road, Dubai, UAE,,+971 4 316 6600,,,, Emirates Hills  Dubai  UAE +971 4 390 5667 
Ja Palm Tree Court,Dubai,Palm Jumeirah, Dubai, UAE,,+971 4 455 9999,,,, Dubai  UAE +971 4 316 6600  
Palazzo Versace Dubai,Dubai,Jaddaf Waterfront, Dubai, UAE,,+971 4 556 8888,,,, Dubai  UAE +971 4 455 9999  
Taj Exotica Resort & Spa,Dubai,Palm Jumeirah, Dubai, UAE,,+971 4 275 9999,,,, Dubai  UAE +971 4 556 8888  
Address Dubai Mall,Dubai,Mohammed Bin Rashid Blvd, Downtown Dubai, UAE,,+971 4 888 3444,,,, Dubai  UAE +971 4 275 9999  
Address Boulevard,Dubai,Mohammed Bin Rashid Blvd, Downtown Dubai, UAE,,+971 4 888 3444,,,, Downtown Dubai  UAE +971 4 888 3444  
Address Sky View,Dubai,Sheikh Mohammed Bin Rashid Blvd, Downtown Dubai, UAE,,+971 4 423 3333,,,, Downtown Dubai  UAE +971 4 888 3444  
Address Downtown,Dubai,Mohammed Bin Rashid Blvd, Downtown Dubai, UAE,,+971 4 888 3444,,,, Downtown Dubai  UAE +971 4 423 3333  
Atlantis The Palm,Dubai,Palm Jumeirah, Dubai, UAE,,+971 4 426 0000,,,, Downtown Dubai  UAE +971 4 888 3444  
Jumeirah Beach Hotel,Dubai,Jumeirah Beach Road, Dubai, UAE,,+971 4 348 0000,,,, Dubai  UAE +971 4 426 0000  
Kempinski,Dubai,Sheikh Zayed Road, Dubai, UAE,,+971 4 341 0000,,,, Dubai  UAE +971 4 348 0000  
Waldorf Astoria Palm Jumeirah,Dubai,Palm Jumeirah, Dubai, UAE,,+971 4 818 2222,,,, Dubai  UAE +971 4 341 0000  
Rixos The Palm,Dubai,Palm Jumeirah, Dubai, UAE,,+971 4 457 5555,,,, Dubai  UAE +971 4 818 2222  
Armani Hotel Dubai,Dubai,Burj Khalifa, Downtown Dubai, UAE,,+971 4 888 3444,,,, Dubai  UAE +971 4 457 5555  
Address Beach Resort,Dubai,The Walk, JBR, Dubai,, UAE,,+971 4 879 9222,, Downtown Dubai  UAE +971 4 888 3444  
Al Naseem Jumeirah,Dubai,Madinat Jumeirah, Dubai, UAE,,+971 4 366 8888,,,, JBR  Dubai  UAE +971 4 879 9222 
Bvlgari Resort Dubai,Dubai,Jumeirah Bay Island, Dubai, UAE,,+971 4 347 6666,,,, Dubai  UAE +971 4 366 8888  
,,,,,,,,,, Dubai  UAE +971 4 347 6666  
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
